年月,SKU,固定費,変動費-材料費,変動費-委託費
2024-05,SKU002,12000,9200,4100
2024-05,SKU003,8000,7200,3100
2024-05,SKU004,9000,7700,3400
2024-05,SKU005,11000,8700,3800
2024-05,SKU006,13000,9700,4400
2024-05,SKU007,9500,8000,3500
2024-05,SKU008,12500,9500,4300
2024-05,SKU009,7500,7000,3000
2024-05,SKU010,14000,10200,4600
2024-06,SKU001,10000,8400,3700
2024-06,SKU002,12000,9400,4200
2024-06,SKU003,8000,7400,3200
2024-06,SKU004,9000,7900,3500
2024-06,SKU005,11000,8900,3900
2024-06,SKU006,13000,9900,4500
2024-06,SKU007,9500,8200,3600
2024-06,SKU008,12500,9700,4400
2024-06,SKU009,7500,7200,3100
2024-06,SKU010,14000,10400,4700
2024-07,SKU001,10000,8600,3800
2024-07,SKU002,12000,9600,4300
2024-07,SKU003,8000,7600,3300
2024-07,SKU004,9000,8100,3600
2024-07,SKU005,11000,9100,4000
2024-07,SKU006,13000,10100,4600
2024-07,SKU007,9500,8400,3700
2024-07,SKU008,12500,9900,4500
2024-07,SKU009,7500,7400,3200
2024-07,SKU010,14000,10600,4800
2024-08,SKU001,10000,8800,3900
2024-08,SKU002,12000,9800,4400
2024-08,SKU003,8000,7800,3400
2024-08,SKU004,9000,8300,3700
2024-08,SKU005,11000,9300,4100
2024-08,SKU006,13000,10300,4700
2024-08,SKU007,9500,8600,3800
2024-08,SKU008,12500,10100,4600
2024-08,SKU009,7500,7600,3300
2024-08,SKU010,14000,10800,4900
2024-09,SKU001,10000,9000,4000
2024-09,SKU002,12000,10000,4500
2024-09,SKU003,8000,8000,3500
2024-09,SKU004,9000,8500,3800
2024-09,SKU005,11000,9500,4200
2024-09,SKU006,13000,10500,4800
2024-09,SKU007,9500,8800,3900
2024-09,SKU008,12500,10300,4700
2024-09,SKU009,7500,7800,3400
2024-09,SKU010,14000,11000,5000
2024-10,SKU001,10000,9200,4100
2024-10,SKU002,12000,10200,4600
2024-10,SKU003,8000,8200,3600
2024-10,SKU004,9000,8700,3900
2024-10,SKU005,11000,9700,4300
2024-10,SKU006,13000,10700,4900
2024-10,SKU007,9500,9000,4000
2024-10,SKU008,12500,10500,4800
2024-10,SKU009,7500,8000,3500
2024-10,SKU010,14000,11200,5100
2024-11,SKU001,10000,9400,4200
2024-11,SKU002,12000,10400,4700
2024-11,SKU003,8000,8400,3700
2024-11,SKU004,9000,8900,4000
2024-11,SKU005,11000,9900,4400
2024-11,SKU006,13000,10900,5000
2024-11,SKU007,9500,9200,4100
2024-11,SKU008,12500,10700,4900
2024-11,SKU009,7500,8200,3600
2024-11,SKU010,14000,11400,5200
2024-12,SKU001,10000,9600,4300
2024-12,SKU002,12000,10600,4800
2024-12,SKU003,8000,8600,3800
2024-12,SKU004,9000,9100,4100
2024-12,SKU005,11000,10100,4500
2024-12,SKU006,13000,11100,5100
2024-12,SKU007,9500,9400,4200
2024-12,SKU008,12500,10900,5000
2024-12,SKU009,7500,8400,3700
2024-12,SKU010,14000,11600,5300
2025-01,SKU001,10000,9800,4400
2025-01,SKU002,12000,10800,4900
2025-01,SKU003,8000,8800,3900
2025-01,SKU004,9000,9300,4200
2025-01,SKU005,11000,10300,4600
2025-01,SKU006,13000,11300,5200
2025-01,SKU007,9500,9600,4300
2025-01,SKU008,12500,11100,5100
2025-01,SKU009,7500,8600,3800
2025-01,SKU010,14000,11800,5400
2025-02,SKU001,10000,10000,4500
2025-02,SKU002,12000,11000,5000
2025-02,SKU003,8000,9000,4000
2025-02,SKU004,9000,9500,4300
2025-02,SKU005,11000,10500,4700
2025-02,SKU006,13000,11500,5300
2025-02,SKU007,9500,9800,4400
2025-02,SKU008,12500,11300,5200
2025-02,SKU009,7500,8800,3900
2025-02,SKU010,14000,12000,5500
2025-03,SKU001,10000,10200,4600
2025-03,SKU002,12000,11200,5100
2025-03,SKU003,8000,9200,4100
2025-03,SKU004,9000,9700,4400
2025-03,SKU005,11000,10700,4800
2025-03,SKU006,13000,11700,5400
2025-03,SKU007,9500,10000,4500
2025-03,SKU008,12500,11500,5300
2025-03,SKU009,7500,9000,4000
2025-03,SKU010,14000,12200,5600
2025-04,SKU001,10000,10400,4700
2025-04,SKU002,12000,11400,5200
2025-04,SKU003,8000,9400,4200
2025-04,SKU004,9000,9900,4500
2025-04,SKU005,11000,10900,4900
2025-04,SKU006,13000,11900,5500
2025-04,SKU007,9500,10200,4600
2025-04,SKU008,12500,11700,5400
2025-04,SKU009,7500,9200,4100
2025-04,SKU010,14000,12400,5700
2025-05,SKU001,10000,10600,4800
2025-05,SKU002,12000,11600,5300
2025-05,SKU003,8000,9600,4300
2025-05,SKU004,9000,10100,4600
2025-05,SKU005,11000,11100,5000
2025-05,SKU006,13000,12100,5600
2025-05,SKU007,9500,10400,4700
2025-05,SKU008,12500,11900,5500
2025-05,SKU009,7500,9400,4200
2025-05,SKU010,14000,12600,5800
2025-06,SKU001,10000,10800,4900
2025-06,SKU002,12000,11800,5400
2025-06,SKU003,8000,9800,4400
2025-06,SKU004,9000,10300,4700
2025-06,SKU005,11000,11300,5100
2025-06,SKU006,13000,12300,5700
2025-06,SKU007,9500,10600,4800
2025-06,SKU008,12500,12100,5600
2025-06,SKU009,7500,9600,4300
2025-06,SKU010,14000,12800,5900
